Freq.	V(feedb)/V(inv)
1.28380777047249e+002	(1.14027613524066e+002dB,4.28125838544952e+000°)
1.28528665994363e+002	(1.14007857700086e+002dB,4.27638073002051e+000°)
1.28676725302969e+002	(1.13988101308313e+002dB,4.27150822846009e+000°)
1.28824955169315e+002	(1.13968344355293e+002dB,4.26664087510889e+000°)
1.28973355789877e+002	(1.13948586842536e+002dB,4.26177867025738e+000°)
1.29121927361355e+002	(1.13928828763559e+002dB,4.25692160180168e+000°)
1.29270670080678e+002	(1.13909070131241e+002dB,4.25206967194141e+000°)
1.29419584145000e+002	(1.13889310938067e+002dB,4.24722287181007e+000°)
1.29568669751704e+002	(1.13869551194699e+002dB,4.24238119836677e+000°)
1.29717927098397e+002	(1.13849790889918e+002dB,4.23754464577083e+000°)
1.29867356382918e+002	(1.13830030033291e+002dB,4.23271321184595e+000°)
1.30016957803331e+002	(1.13810268624915e+002dB,4.22788688868038e+000°)
1.30166731557928e+002	(1.13790506665400e+002dB,4.22306567535474e+000°)
1.30316677845232e+002	(1.13770744150632e+002dB,4.21824956057388e+000°)
1.30466796863991e+002	(1.13750981094509e+002dB,4.21343854802027e+000°)
1.30617088813186e+002	(1.13731217486585e+002dB,4.20863262768282e+000°)
1.30767553892024e+002	(1.13711453329444e+002dB,4.20383179478832e+000°)
1.30918192299943e+002	(1.13691688631457e+002dB,4.19903604926302e+000°)
1.31069004236610e+002	(1.13671923383294e+002dB,4.19424537636957e+000°)
1.31219989901922e+002	(1.13652157597641e+002dB,4.18945978488878e+000°)
1.31371149496008e+002	(1.13632391267081e+002dB,4.18467925783310e+000°)
1.31522483219226e+002	(1.13612624399122e+002dB,4.17990379791034e+000°)
1.31673991272164e+002	(1.13592856982414e+002dB,4.17513339554738e+000°)
1.31825673855643e+002	(1.13573089035147e+002dB,4.17036805343403e+000°)
1.31977531170714e+002	(1.13553320547333e+002dB,4.16560775824732e+000°)
1.32129563418659e+002	(1.13533551523697e+002dB,4.16085251248938e+000°)
1.32281770800995e+002	(1.13513781967217e+002dB,4.15610230693810e+000°)
1.32434153519468e+002	(1.13494011873137e+002dB,4.15135713742980e+000°)
1.32586711776058e+002	(1.13474241248773e+002dB,4.14661699945696e+000°)
1.32739445772976e+002	(1.13454470093000e+002dB,4.14188189035310e+000°)
1.32892355712668e+002	(1.13434698406630e+002dB,4.13715180353166e+000°)
1.33045441797811e+002	(1.13414926190905e+002dB,4.13242673494994e+000°)
1.33198704231318e+002	(1.13395153445844e+002dB,4.12770667876486e+000°)
1.33352143216334e+002	(1.13375380175612e+002dB,4.12299163258897e+000°)
1.33505758956239e+002	(1.13355606378029e+002dB,4.11828158835031e+000°)
1.33659551654646e+002	(1.13335832060450e+002dB,4.11357654580802e+000°)
1.33813521515404e+002	(1.13316057215046e+002dB,4.10887649680753e+000°)
1.33967668742596e+002	(1.13296281849145e+002dB,4.10418143677495e+000°)
1.34121993540539e+002	(1.13276505957699e+002dB,4.09949135911107e+000°)
1.34276496113788e+002	(1.13256729552702e+002dB,4.09480626828339e+000°)
1.34431176667133e+002	(1.13236952623624e+002dB,4.09012614991956e+000°)
1.34586035405597e+002	(1.13217175177521e+002dB,4.08545100099758e+000°)
1.34741072534443e+002	(1.13197397216481e+002dB,4.08078082074191e+000°)
1.34896288259167e+002	(1.13177618736314e+002dB,4.07611560276825e+000°)
1.35051682785506e+002	(1.13157839746123e+002dB,4.07145533951492e+000°)
1.35207256319430e+002	(1.13138060242040e+002dB,4.06680003231471e+000°)
1.35363009067148e+002	(1.13118280226779e+002dB,4.06214966988526e+000°)
1.35518941235106e+002	(1.13098499693638e+002dB,4.05750425008295e+000°)
1.35675053029988e+002	(1.13078718652539e+002dB,4.05286376722097e+000°)
1.35831344658718e+002	(1.13058937107895e+002dB,4.04822822058508e+000°)
1.35987816328454e+002	(1.13039155049840e+002dB,4.04359760239368e+000°)
1.36144468246597e+002	(1.13019372489765e+002dB,4.03897190966311e+000°)
1.36301300620785e+002	(1.12999589420349e+002dB,4.03435113412682e+000°)
1.36458313658895e+002	(1.12979805848582e+002dB,4.02973527598005e+000°)
1.36615507569043e+002	(1.12960021773068e+002dB,4.02512432857203e+000°)
1.36772882559587e+002	(1.12940237195125e+002dB,4.02051828636609e+000°)
1.36930438839123e+002	(1.12920452114015e+002dB,4.01591714459198e+000°)
1.37088176616488e+002	(1.12900666538182e+002dB,4.01132090098478e+000°)
1.37246096100758e+002	(1.12880880462380e+002dB,4.00672954917626e+000°)
1.37404197501254e+002	(1.12861093881792e+002dB,4.00214307981219e+000°)
1.37562481027533e+002	(1.12841306805800e+002dB,3.99756149462554e+000°)
1.37720946889397e+002	(1.12821519238831e+002dB,3.99298478972424e+000°)
1.37879595296888e+002	(1.12801731174207e+002dB,3.98841295658801e+000°)
1.38038426460291e+002	(1.12781942615396e+002dB,3.98384599161476e+000°)
1.38197440590132e+002	(1.12762153564508e+002dB,3.97928389068329e+000°)
1.38356637897180e+002	(1.12742364023719e+002dB,3.97472664967779e+000°)
1.38516018592449e+002	(1.12722573990470e+002dB,3.97017426313149e+000°)
1.38675582887191e+002	(1.12702783467508e+002dB,3.96562672504823e+000°)
1.38835330992907e+002	(1.12682992459988e+002dB,3.96108403493356e+000°)
1.38995263121338e+002	(1.12663200958590e+002dB,3.95654618196834e+000°)
1.39155379484470e+002	(1.12643408977821e+002dB,3.95201317024193e+000°)
1.39315680294533e+002	(1.12623616506222e+002dB,3.94748498415125e+000°)
1.39476165764002e+002	(1.12603823558469e+002dB,3.94296163029830e+000°)
1.39636836105596e+002	(1.12584030117756e+002dB,3.93844309495362e+000°)
1.39797691532280e+002	(1.12564236200463e+002dB,3.93392937664098e+000°)
1.39958732257264e+002	(1.12544441799581e+002dB,3.92942047199891e+000°)
1.40119958494003e+002	(1.12524646919831e+002dB,3.92491637539532e+000°)
1.40281370456198e+002	(1.12504851565395e+002dB,3.92041708483852e+000°)
1.40442968357797e+002	(1.12485055726867e+002dB,3.91592258997175e+000°)
1.40604752412994e+002	(1.12465259414312e+002dB,3.91143289086222e+000°)
1.40766722836229e+002	(1.12445462623367e+002dB,3.90694798026001e+000°)
1.40928879842190e+002	(1.12425665362545e+002dB,3.90246785826326e+000°)
1.41091223645812e+002	(1.12405867622671e+002dB,3.89799251433356e+000°)
1.41253754462278e+002	(1.12386069411424e+002dB,3.89352194639250e+000°)
1.41416472507018e+002	(1.12366270728478e+002dB,3.88905614902204e+000°)
1.41579377995711e+002	(1.12346471578914e+002dB,3.88459511971509e+000°)
1.41742471144283e+002	(1.12326671955991e+002dB,3.88013885460778e+000°)
1.41905752168912e+002	(1.12306871864747e+002dB,3.87568734455109e+000°)
1.42069221286021e+002	(1.12287071306947e+002dB,3.87124058838059e+000°)
1.42232878712285e+002	(1.12267270280870e+002dB,3.86679857907602e+000°)
1.42396724664627e+002	(1.12247468789687e+002dB,3.86236131595378e+000°)
1.42560759360221e+002	(1.12227666834450e+002dB,3.85792878908122e+000°)
1.42724983016492e+002	(1.12207864417806e+002dB,3.85350099926772e+000°)
1.42889395851113e+002	(1.12188061531778e+002dB,3.84907793708943e+000°)
1.43053998082009e+002	(1.12168258189041e+002dB,3.84465960096007e+000°)
1.43218789927357e+002	(1.12148454389837e+002dB,3.84024598916059e+000°)
1.43383771605584e+002	(1.12128650125526e+002dB,3.83583708983846e+000°)
1.43548943335368e+002	(1.12108845401914e+002dB,3.83143290607268e+000°)
1.43714305335642e+002	(1.12089040220405e+002dB,3.82703342399679e+000°)
1.43879857825587e+002	(1.12069234585539e+002dB,3.82263864684216e+000°)
1.44045601024640e+002	(1.12049428491910e+002dB,3.81824856734545e+000°)
1.44211535152490e+002	(1.12029621948562e+002dB,3.81386318297896e+000°)
1.44377660429076e+002	(1.12009814944815e+002dB,3.80948248240082e+000°)
1.44543977074595e+002	(1.11990007494583e+002dB,3.80510647162359e+000°)
1.44710485309496e+002	(1.11970199589272e+002dB,3.80073514079858e+000°)
1.44877185354479e+002	(1.11950391231178e+002dB,3.79636848020116e+000°)
1.45044077430502e+002	(1.11930582426623e+002dB,3.79200649364072e+000°)
1.45211161758777e+002	(1.11910773174302e+002dB,3.78764917175782e+000°)
1.45378438560769e+002	(1.11890963471988e+002dB,3.78329651107666e+000°)
1.45545908058199e+002	(1.11871153325081e+002dB,3.77894850908394e+000°)
1.45713570473045e+002	(1.11851342727877e+002dB,3.77460515763738e+000°)
1.45881426027538e+002	(1.11831531689733e+002dB,3.77026645525783e+000°)
1.46049474944166e+002	(1.11811720206851e+002dB,3.76593239491814e+000°)
1.46217717445675e+002	(1.11791908277469e+002dB,3.76160297244457e+000°)
1.46386153755065e+002	(1.11772095910821e+002dB,3.75727818552034e+000°)
1.46554784095594e+002	(1.11752283101184e+002dB,3.75295802896830e+000°)
1.46723608690778e+002	(1.11732469850494e+002dB,3.74864249587655e+000°)
1.46892627764390e+002	(1.11712656162803e+002dB,3.74433158336929e+000°)
1.47061841540459e+002	(1.11692842037273e+002dB,3.74002528714351e+000°)
1.47231250243275e+002	(1.11673027471026e+002dB,3.73572360240368e+000°)
1.47400854097384e+002	(1.11653212470578e+002dB,3.73142652570597e+000°)
1.47570653327592e+002	(1.11633397034216e+002dB,3.72713405076508e+000°)
1.47740648158964e+002	(1.11613581162475e+002dB,3.72284617058600e+000°)
1.47910838816824e+002	(1.11593764859172e+002dB,3.71856288586485e+000°)
1.48081225526754e+002	(1.11573948120897e+002dB,3.71428419121831e+000°)
1.48251808514598e+002	(1.11554130953246e+002dB,3.71001008089571e+000°)
1.48422588006460e+002	(1.11534313352384e+002dB,3.70574054685815e+000°)
1.48593564228704e+002	(1.11514495326009e+002dB,3.70147559230310e+000°)
1.48764737407953e+002	(1.11494676866317e+002dB,3.69721520647708e+000°)
1.48936107771095e+002	(1.11474857981050e+002dB,3.69295938386896e+000°)
1.49107675545275e+002	(1.11455038667595e+002dB,3.68870812777937e+000°)
1.49279440957903e+002	(1.11435218929684e+002dB,3.68446142936830e+000°)
1.49451404236649e+002	(1.11415398765345e+002dB,3.68021928168276e+000°)
1.49623565609446e+002	(1.11395578178080e+002dB,3.67598168270797e+000°)
1.49795925304491e+002	(1.11375757165184e+002dB,3.67174862497018e+000°)
1.49968483550241e+002	(1.11355935730866e+002dB,3.66752010887376e+000°)
1.50141240575417e+002	(1.11336113877392e+002dB,3.66329612750982e+000°)
1.50314196609005e+002	(1.11316291596656e+002dB,3.65907667411890e+000°)
1.50487351880255e+002	(1.11296468900429e+002dB,3.65486174725867e+000°)
1.50660706618677e+002	(1.11276645787756e+002dB,3.65065134426630e+000°)
1.50834261054051e+002	(1.11256822254360e+002dB,3.64644545393743e+000°)
1.51008015416418e+002	(1.11236998301732e+002dB,3.64224407745771e+000°)
1.51181969936085e+002	(1.11217173933459e+002dB,3.63804720928724e+000°)
1.51356124843624e+002	(1.11197349156540e+002dB,3.63385484638927e+000°)
1.51530480369873e+002	(1.11177523962624e+002dB,3.62966697872672e+000°)
1.51705036745937e+002	(1.11157698352262e+002dB,3.62548360807811e+000°)
1.51879794203185e+002	(1.11137872330215e+002dB,3.62130472684707e+000°)
1.52054752973253e+002	(1.11118045893497e+002dB,3.61713032833722e+000°)
1.52229913288045e+002	(1.11098219053654e+002dB,3.61296041354442e+000°)
